epoch,accuracy,dice_coef,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9803910255432129,0.300106018781662,0.0010000000474974513,0.07461822777986526,0.6896471977233887,0.9834697842597961,0.9761367440223694,0.9944875836372375,0.9820047616958618,0.30438023805618286,0.06454107165336609,0.7576183080673218,0.9859702587127686,0.9806775450706482,0.9953444004058838
1,0.0,0.0,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.982004702091217,0.3043802082538605,0.06454107165336609,0.7576183676719666,0.9859702587127686,0.9806773066520691,0.9953444004058838
2,0.9803876876831055,0.2854302227497101,0.0010000000474974513,0.08964897692203522,0.5443770289421082,0.9810389876365662,0.9788336753845215,0.9937039613723755,0.9820039868354797,0.2699227035045624,0.07540354877710342,0.6913660764694214,0.9819429516792297,0.9819638133049011,0.9939888715744019
3,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.0,0.9820039868354797,0.26992273330688477,0.07540354877710342,0.6913661956787109,0.9819429516792297,0.9819636940956116,0.9939888715744019
4,0.9804389476776123,0.30019164085388184,0.00020000000949949026,0.07008177042007446,0.6309658885002136,0.9824180006980896,0.9795858263969421,0.9941454529762268,0.9821069240570068,0.3135421872138977,0.05811832472681999,0.5256022810935974,0.986179769039154,0.9810898303985596,0.9953871965408325
5,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.0,0.9821069836616516,0.31354227662086487,0.05811832472681999,0.5256023406982422,0.9861796498298645,0.9810899496078491,0.9953873157501221
6,0.9815739393234253,0.3327674865722656,0.00020000000949949026,0.06150849536061287,0.5862114429473877,0.9876043200492859,0.9775006175041199,0.9957941174507141,0.9835609197616577,0.32885101437568665,0.055314451456069946,0.6178705096244812,0.9901353716850281,0.9784195423126221,0.9966288208961487
7,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.0,0.983561098575592,0.3288509249687195,0.055314451456069946,0.6178706288337708,0.9901357293128967,0.978419840335846,0.9966291189193726
8,0.9833663702011108,0.3459731340408325,0.00020000000949949026,0.056137681007385254,0.6623165011405945,0.9888882040977478,0.9782485365867615,0.9961926341056824,0.9851706027984619,0.341884970664978,0.05008131265640259,0.4200330674648285,0.9891430735588074,0.9811037182807922,0.9963005781173706
9,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.0,0.9851704835891724,0.34188488125801086,0.05008132383227348,0.4200330674648285,0.9891431927680969,0.9811037182807922,0.9963007569313049
10,0.9838256239891052,0.3624080717563629,0.00020000000949949026,0.05184713751077652,0.5543904900550842,0.9896923303604126,0.977999746799469,0.9964438676834106,0.9857576489448547,0.3582208454608917,0.04417866840958595,0.6474761962890625,0.9911301136016846,0.9803274869918823,0.9969349503517151
11,0.0,0.0,0.00020000000949949026,0.0,0.0,0.0,0.0,0.0,0.98575758934021,0.3582208454608917,0.04417866840958595,0.6474761962890625,0.9911302328109741,0.9803277850151062,0.9969348311424255
12,0.9849020838737488,0.3780939280986786,0.00020000000949949026,0.04701567068696022,0.5788190364837646,0.9910292625427246,0.9785436987876892,0.9968568086624146,0.9851149916648865,0.3685351014137268,0.04591372609138489,0.6047652959823608,0.9925018548965454,0.9779844284057617,0.9973465204238892
13,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.9851148724555969,0.3685351312160492,0.045913729816675186,0.6047652959823608,0.9925018548965454,0.9779845476150513,0.9973466396331787
14,0.9860860705375671,0.3949620723724365,4.0000002627493814e-05,0.04181182384490967,0.6390483379364014,0.9920058250427246,0.9799764156341553,0.9971632957458496,0.9872080683708191,0.3855718672275543,0.03863545507192612,0.6479431390762329,0.9925901889801025,0.9815179705619812,0.997386634349823
15,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.9872081875801086,0.3855719566345215,0.03863545507192612,0.6479431390762329,0.9925901293754578,0.9815182089805603,0.9973865151405334
16,0.9863987565040588,0.4033827483654022,4.0000002627493814e-05,0.040194861590862274,0.6377782821655273,0.9921629428863525,0.9806462526321411,0.9972206950187683,0.9875264763832092,0.3944436311721802,0.037360917776823044,0.6591988801956177,0.9929171204566956,0.9818673133850098,0.9974918961524963
17,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.9875264763832092,0.3944436013698578,0.03736092522740364,0.6591988801956177,0.9929173588752747,0.9818674325942993,0.9974920153617859
18,0.9867388606071472,0.4097471237182617,4.0000002627493814e-05,0.0389939583837986,0.6382316946983337,0.9922613501548767,0.9812704920768738,0.9972588419914246,0.9877602458000183,0.3980696201324463,0.03697358816862106,0.6048918962478638,0.9939680099487305,0.9812034368515015,0.9978062510490417
19,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.9877599477767944,0.39806970953941345,0.036973584443330765,0.604891836643219,0.9939680099487305,0.9812031388282776,0.9978063702583313
20,0.9870525002479553,0.4143616259098053,4.0000002627493814e-05,0.03822392225265503,0.6509298086166382,0.9926384091377258,0.9814505577087402,0.9973772764205933,0.9880037903785706,0.40761804580688477,0.0354771614074707,0.6621885895729065,0.9926725625991821,0.9831428527832031,0.9974304437637329
21,0.0,0.0,4.0000002627493814e-05,0.0,0.0,0.0,0.0,0.0,0.988003671169281,0.40761798620224,0.035477157682180405,0.6621885895729065,0.9926728010177612,0.9831430315971375,0.9974302053451538
22,0.9872978329658508,0.42118799686431885,4.0000002627493814e-05,0.03712872788310051,0.6722018718719482,0.9927209615707397,0.9819969534873962,0.9974066615104675,0.9883178472518921,0.412913978099823,0.03484722971916199,0.668512225151062,0.9926725029945374,0.9837879538536072,0.9974307417869568
